PlatNo | Customer | StartRent | EndRent 
ANP 0105 | Mikael | 02/07/2024 | 13/08/2024
PKP 9903 | Messi | 12/05/2024 | 03/09/2024
WXY 1234 | De Gea | 07/04/2024 | 20/07/2024
JKL 5678 | Ronaldo | 15/03/2024 | 24/08/2024
BNM 3456 | Peter | 02/06/2024 | 23/07/2024
RTY 1122 | Mbappe | 02/06/2024 | 23/07/2024
ASD 3344 | Eva | 10/07/2024 | 15/09/2024
HJK 7788 | Mala | 02/06/2024 | 23/10/2024
VBN 9900 | Ecah | 30/06/2024 | 23/09/2024
MNB 1235 | Sofia | 01/03/2024 | 03/04/2024
VYZ 9012 | John | 01/02/2024 | 23/02/2024
DCX 8085 | Adnin | 02/10/2023 | 23/11/2023
ZXC 5566 | Elena | 02/10/2023 | 15/11/2023
GHJ 9012 | Adam | 02/11/2023 | 15/12/2023
DCX 8085 | Hamzah | 12/08/2023 | 03/09/2023
ANP 0105 | Eva | 02/08/2023 | 15/08/2023
QWE 7890 | Morata | 22/05/2023 | 15/07/2023
PKP 9903 | Donald | 12/02/2023 | 03/03/2023
VDT 7458 | Simon | 01/01/2023 | 23/03/2023
ANP 0105 | Maria | 02/01/2023 | 15/02/2023
VDT 7458 | Henry | 01/04/2022 | 23/04/2022
